"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CHVI8.D","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LEMO2","OPPO","OPPO.D","PEPU7","PHAU3","PIED","PIED.D","PLPA2","SALSO","SPCR","SPCR.D","Total.Foliar","CLLU2","LAOC3","SALSO.D","SPCO","HIJA"
"1",0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0.0333333333333333,0.0222222222222222,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0.211111111111111,0,0,0,0,0,0.433333333333333,0,0,0,0,0
"2",0.0777777777777778,0,0,0.0111111111111111,0.0222222222222222,0,0,0.366666666666667,0.1,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0.188888888888889,0,0.244444444444444,0,0.0222222222222222,0,0,0,0,0.188888888888889,0.0222222222222222,0,0,0.0777777777777778,0.0111111111111111,0.977777777777778,0,0,0,0,0
"10",0.0111111111111111,0,0,0,0.0222222222222222,0,0,0.3,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0.0777777777777778,0.0111111111111111,0.211111111111111,0,0,0,0,0,0,0.355555555555556,0,0,0,0.0111111111111111,0,0.755555555555556,0,0,0,0,0
"11",0,0,0,0,0,0.133333333333333,0,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0.922222222222222,0.0333333333333333,1.1,0,0,0,0,0
"12",0,0,0,0,0,0,0,0.411111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322222222222222,0,0.0111111111111111,0,0,0,0,0.311111111111111,0,0,0,0,0,0.677777777777778,0,0,0,0,0
"14",0.0111111111111111,0,0,0,0,0,0,0.177777777777778,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,0.0222222222222222,0.0111111111111111,0,0,0.177777777777778,0,0.0111111111111111,0,0,0.0333333333333333,0.0111111111111111,0.288888888888889,0.0111111111111111,0,0,0,0,0.588888888888889,0,0,0,0,0
"15",0,0,0,0,0,0,0,0.233333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0.2,0,0.0222222222222222,0,0,0.0333333333333333,0.0111111111111111,0.166666666666667,0.0111111111111111,0,0,0,0,0.466666666666667,0,0,0,0,0
"16",0.0111111111111111,0,0,0,0,0.0222222222222222,0.0111111111111111,0.311111111111111,0.222222222222222,0.0111111111111111,0,0,0,0,0,0,0,0,0,0.0444444444444444,0,0.566666666666667,0,0.0222222222222222,0,0,0.0111111111111111,0,0,0,0.144444444444444,0,0,0,0,0,1.08888888888889,0,0,0,0,0
"17",0,0,0,0,0,0,0,0.344444444444444,0,0,0,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0,0.266666666666667,0,0,0,0,0,0,0.277777777777778,0.0333333333333333,0,0,0,0,0.566666666666667,0,0,0,0,0
"18",0,0,0,0,0,0,0,0.255555555555556,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0.0111111111111111,0.0111111111111111,0,0.0777777777777778,0,0,0,0,0.0444444444444444,0.0111111111111111,0.377777777777778,0,0,0,0,0,0.577777777777778,0,0,0,0,0
"19",0.0111111111111111,0,0,0.244444444444444,0.0333333333333333,0.0222222222222222,0,0.5,0.4,0.0555555555555556,0,0.0111111111111111,0,0,0,0,0.0222222222222222,0,0,0,0,0.233333333333333,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0.0111111111111111,0,1,0,0,0,0,0
"20",0,0,0,0,0,0,0,0.588888888888889,0.2,0.0111111111111111,0,0,0.0444444444444444,0.0111111111111111,0,0.0222222222222222,0,0,0,0,0,0.422222222222222,0,0,0.0111111111111111,0,0,0,0,0,0.311111111111111,0,0,0,0,0,0.944444444444444,0,0,0,0,0
"21",0.0333333333333333,0,0,0,0.0222222222222222,0.0444444444444444,0,0.222222222222222,0.233333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.622222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.0111111111111111,0,0.888888888888889,0,0,0,0,0
