"","ACHY","AMID","AMSIN","ARPU9","ARTR2","ARTR2/D","ARTR2/DP","ATCA2","ATCA2/D","ATCA2/DP","BOGR","BOGR/D","BRTE","BRTE/D","CHDE2","CHNAA3","CHVI8","CHVI8/DP","CLLU2","CRFL5","DEPI","DEPI/D","ECCOC","ECCOC/D","ELEL","EPVI","ERCI6","GRFA","GUSA","GUSA/D","HECO26","HECO26/D","HYACA2","JUOS","KRLA2","KRLA2/DP","LAOC3","LEMO2","MAFR3","MAFR3/DP","OENOT","OPPO","OPPO/D","OPPO/DP","PEPU7","PIED","PLPA2","SALS0","SALS0/D","SPCO","SPCR","SPCR/D","UNKSPR","BAMU","CHVI8/D","ERAB3","HIJA","JUOS/D","LAAC3","PEPU9","PIED/D","SHRO/DP","SPCO/D","UNKF10","UNKF11","UNKF14","UNKF9","YUAN2/D","AMHI","CETE5","CLLU2/D","HECO26/DP","KRLA2/D","OECA10","PHAU3","UNKFG"
"B1_1",0,0,0,0,11,12,4,0,1,0,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_10",0,0,0,0,3,7,0,0,0,0,144,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_2",0,0,0,0,0,0,0,15,0,3,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,20,0,0,0,2,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_3",2,0,0,9,0,0,0,3,0,3,22,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,11,0,11,0,0,0,1,1,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_4",0,0,0,0,0,2,0,5,0,0,23,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_5",0,0,0,0,0,2,0,12,0,2,70,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_6",0,0,0,0,0,3,0,11,0,2,83,5,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_7",5,0,0,0,16,12,10,2,0,1,67,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,6,0,0,0,0,2,0,1,0,0,1,0,0,0,70,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_8",0,0,1,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,16,0,0,0,0,2,0,1,0,0,11,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_9",0,0,0,0,0,7,0,0,0,0,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,107,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2_1",0,4,0,1,0,0,0,0,0,0,68,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,8,0,0,0,0,10,0,5,0,0,1,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2_10",0,0,0,0,6,10,3,0,0,0,62,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,50,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2_2",0,0,0,0,0,9,0,6,0,1,131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2_4",0,0,0,0,2,3,1,0,0,0,109,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2_5",4,0,0,0,0,6,0,0,0,0,106,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2_6",1,0,0,0,0,1,0,1,0,0,96,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,29,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
