id,top,bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,Texture,FGr,Gr,CoGr,CB,CH,SandPercent,SandSize,ClayPercent,pH,Effervescence,Elevation,Elevation,Landform,Aspect,Slope,SlopeShape,ParentMaterial1,ParentMaterial2,BedrockGeology1,BedrockGeology2,SoilDepthClass,CarbonateStage,BioticCrustClass
B3_6,80,105,B',5YR,7,6,5YR,5,6,SL,1,NA,NA,NA,NA,60,F,7,8.6,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_6,105,169,B'2,5YR,8,4,5YR,5,6,SL,NA,NA,NA,NA,NA,60,F,7,8.8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_6,169,169,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_7,0,6,A,7.5YR,6,6,7.5YR,4,3,SL,NA,NA,NA,NA,NA,65,F,3,7.6,NE,6151,1874.847598,SH,260,5,CC,Eolian,Residuum,Sandstone,NA,Deep,0,2
B3_7,6,32,B,5YR,6,6,5YR,5,6,SL,NA,4,NA,NA,NA,70,F,7,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_7,32,68,B2,5YR,8,4,5YR,6,4,SL,4,NA,NA,NA,1,70,F,5,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_7,68,108,B3,5YR,6,6,5YR,4,6,SL,NA,NA,NA,NA,NA,75,F,5,8.4,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_7,108,135,B4,5YR,7,4,5YR,5,6,LS,NA,NA,NA,NA,NA,80,F,3,8.4,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_7,135,135,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_8,0,5,A,7.5YR,5,6,7.5YR,3,4,SL,NA,NA,NA,NA,NA,70,VF,5,7.3,NE,6162,1878.200439,TS,246,1,LV,Eolian,NA,Sandstone,NA,Moderately Deep,0,2
B3_8,5,50,A2,7.5YR,5,6,7.5YR,3,4,SL,NA,NA,NA,NA,NA,75,VF,10,8.2,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_8,50,67,AC,7.5YR,6,4,7.5YR,5,4,SL,10,5,NA,NA,NA,75,VF,10,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_8,67,95,Cr,7.5YR,7,4,7.5YR,5,6,SL,15,10,NA,NA,NA,60,VF,10,8.4,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_9,0,7,A,7.5YR,5,4,7.5YR,4,3,SL,0.5,NA,NA,NA,NA,70,F,5,7.6,VS,6151,1874.847598,BS,35,5,LC,Eolian,NA,Sandstone,NA,Very Deep,0,4
B3_9,7,34,B,7.5YR,6,6,5YR,5,4,LS,0.5,NA,NA,NA,NA,80,F,5,8.4,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_9,34,130,C,7.5YR,7,4,5YR,5,4,LS,1,NA,NA,NA,NA,80,F,5,8.4,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_9,130,200,Ab,7.5YR,6,6,7.5YR,5,4,LS,1,NA,NA,NA,NA,80,F,7,8.4,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_10,0,8,A,7.5YR,5,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,45,F,5,7.8,SL,6219,1895.57425,FS,250,5,CV,Eolian,Residuum,Sandstone,NA,Shallow,1,2
B3_10,8,20,B,7.5YR,5,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,70,F,15,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_10,20,42,Cr,7.5YR,7,3,7.5YR,5,3,LS,NA,NA,NA,NA,NA,80,F,3,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_1,0,11,A,7.5YR,6,4,7.5YR,4,4,SL,2,2,NA,NA,NA,70,F,5,7.8,ST,6195,1888.258961,TS,190,4,LC,Residuum,NA,Sandstone,NA,Very Deep,0,5
B4_1,11,11,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_2,0,7,A,7.5YR,6,4,7.5YR,4,4,SL,2,1,NA,NA,NA,60,F,5,7.6,SL,6172,1881.248476,BS,110,11,VV,Eolian,Residuum,Sandstone,NA,Very Deep,0,2
B4_2,7,7,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_3,0,5,A,7.5YR,5,4,7.5YR,3,4,SL,NA,NA,NA,NA,NA,60,F,3,7.6,SL,6160,1877.590832,SH,210,6,VV,Eolian,Residuum,Sandstone,NA,Moderately Deep,0,1
B4_3,5,62,B,7.5YR,6,4,7.5YR,4,6,SL,1,NA,NA,NA,NA,70,F,3,7.8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_3,62,69,Cr,7.5YR,7,3,7.5YR,6,4,LS,3,NA,NA,NA,2,80,MIX,3,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_4,0,5,A,7.5YR,5,4,7.5YR,3,4,SL,NA,NA,NA,NA,NA,60,F,5,7.8,ST,6203,1890.697391,TS,220,5,LC,Eolian,Residuum,Sandstone,NA,Very Deep,0,0
B4_4,5,14,B,7.5YR,5,4,7.5YR,4,4,SL,1,NA,NA,NA,NA,60,F,7,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_4,14,72,B2,7.5YR,6,4,7.5YR,5,4,SL,1,NA,NA,NA,NA,60,F,5,8.2,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_4,72,83,B3,7.5YR,6,4,7.5YR,4,6,SL,1,NA,NA,NA,NA,75,F,5,8.4,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_4,83,128,B4,7.5YR,7,4,7.5YR,5,4,SL,1,NA,NA,NA,NA,70,F,5,8.6,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_4,128,153,B5,7.5YR,6,3,7.5YR,4,4,SL,1,NA,NA,NA,NA,65,F,3,8.4,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_4,153,153,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_6,0,6,A,7.5YR,5,4,7.5YR,3,4,SL,1,NA,NA,NA,NA,65,F,5,7.6,SL,6170,1880.638869,SH,160,6,VV,Eolian,NA,Sandstone,NA,Shallow,0,2
B4_6,6,47,B,7.5YR,6,4,7.5YR,4,4,SL,NA,1,NA,NA,NA,70,F,5,7.8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_6,47,47,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_7,0,5,A,10YR,6,4,7.5YR,4,3,SL,NA,NA,NA,NA,NA,75,VF,5,7.4,NE,6160,1877.590832,SUMMIT,310,1,LL,Eolian,NA,Sandstone,NA,Very Deep,0,1
B4_7,5,19,B,7.5YR,6,6,7.5YR,4,4,SL,NA,NA,NA,NA,NA,75,F,7,8,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_7,19,92,B2,7.5YR,6,4,7.5YR,4,6,SL,NA,NA,NA,NA,NA,75,F,7,8,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_7,92,176,C,7.5YR,8,4,7.5YR,5,4,LS,NA,NA,NA,NA,NA,80,F,5,8.5,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_8,0,6,A,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,65,F,5,7.8,SL,6195,1888.258961,SUMMIT,200,5,VV,Eolian,NA,Sandstone,NA,Very Deep,0,0
B4_8,6,18,B,7.5YR,6,4,7.5YR,4,4,SL,NA,1,NA,NA,NA,60,F,5,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_8,18,112,B2,7.5YR,7,4,7.5YR,5,4,SL,1,NA,NA,NA,NA,70,F,5,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_8,112,200,B3,7.5YR,7,4,7.5YR,5,4,SL,1,NA,NA,NA,NA,65,F,5,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_9,0,7,A,7.5YR,6,4,7.5YR,5,4,SL,3,2,NA,NA,NA,60,F,5,7.8,SL,6206,1891.611802,SH,260,10,VV,Residuum,NA,Sandstone,NA,Very Deep,0,4
B4_9,7,7,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_10,0,5,A,5YR,5,4,5YR,4,4,LS,30,10,NA,NA,NA,80,F,8,8.1,ST,6150,1874.542794,SUMMIT,230,1,LV,Eolian,NA,Sandstone,NA,Moderately Deep,3,1
B4_10,5,19,BA,5YR,5,4,5YR,4,4,SL,10,NA,NA,NA,1,75,VF,12,8.2,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_10,19,36,Bw,5YR,6,4,7.5YR,5,4,SL,5,NA,NA,NA,10,75,F,12,8.2,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_10,36,56,Bkk,7.5YR,7,3,7.5YR,6,4,SL,10,15,10,5,NA,75,MID,10,8.2,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4_10,56,56,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_1,0,4,A,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,60,VF,5,6.6,NE,6139,1871.189954,BS,110,12,CV,Eolian,Residuum,Sandstone,NA,Shallow,0,2
IL1_1,4,24,B,7.5YR,5,6,7.5YR,4,4,SL,NA,NA,NA,NA,NA,60,VF,5,7.4,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_1,24,40,C,7.5YR,7,6,7.5YR,5,6,SL,NA,5,NA,NA,NA,65,F,5,8.2,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_1,40,40,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_3,0,7,A,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,70,F,7,8.2,ST,6184,1884.90612,TS,270,1,LL,Eolian,Residuum,Sandstone,NA,Very Deep,1,3
IL1_3,7,111,B,7.5YR,6,4,7.5YR,4,4,SL,NA,1,NA,NA,NA,65,F,7,8.1,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_3,111,200,B2,7.5YR,6,4,7.5YR,3,4,SL,NA,1,NA,NA,NA,55,F,7,7.8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_4,0,7,A,7.5YR,5,4,7.5YR,3,4,SL,NA,NA,NA,NA,NA,65,VF,7,7.6,NE,6163,1878.505243,BS,110,4,CC,Eolian,Residuum,Sandstone,NA,Moderately Deep,1,2
IL1_4,7,13,B,7.5YR,5,6,7.5YR,4,4,SL,1,NA,NA,NA,NA,55,VF,7,8,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_4,13,54,B2,7.5YR,6,4,7.5YR,4,4,L,1,NA,NA,NA,NA,50,F,7,8.4,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_4,54,96,Cr,7.5YR,8,1,7.5YR,6,4,SL,3,NA,7,NA,NA,65,CO,5,8.6,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_4,96,96,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_5,0,8,A,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,60,F,5,6.5,NE,6154,1875.762009,BS,310,4,VV,Eolian,Residuum,Sandstone,NA,Deep,1,2
IL1_5,8,25,B,5YR,5,6,7.5YR,4,4,SL,NA,NA,NA,NA,NA,70,F,10,7.6,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_5,25,45,B2,7.5YR,7,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,70,F,10,8,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_5,45,80,CB,7.5YR,7,3,7.5YR,5,4,SL,NA,NA,NA,NA,NA,60,F,10,8.4,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_5,80,114,C,7.5YR,7,4,5YR,5,6,SL,NA,NA,NA,NA,NA,70,F,5,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_5,114,121,C2,7.5YR,8,2,7.5YR,7,4,LS,NA,2,NA,NA,NA,80,F,5,8.2,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_5,121,121,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_8,0,7,A,7.5YR,5,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,70,VF,7,7.2,NE,6158,1876.981224,BS,200,2,LV,Eolian,Residuum,Sandstone,NA,Deep,1,2
IL1_8,7,20,B,7.5YR,5,6,7.5YR,4,4,SL,NA,NA,NA,NA,NA,70,F,7,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_8,20,62,B2,7.5YR,5,6,5YR,4,4,SL,NA,NA,NA,NA,NA,60,F,7,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_8,62,135,BC,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,70,F,7,8.1,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_8,135,148,C,7.5YR,6,4,7.5YR,5,6,SL,NA,15,NA,NA,NA,80,CO,5,8.3,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_8,148,148,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_9,0,8,A,7.5YR,5,4,7.5YR,4,4,SL,NA,30,NA,NA,NA,65,MIX,10,7.8,ST,6115,1863.874665,BS,190,18,VV,Residuum,NA,Sandstone,NA,Very Shallow,1,5
IL1_10,0,5,A,7.5YR,6,4,7.5YR,4,3,SL,NA,NA,NA,NA,NA,60,F,7,7.8,VS,6162,1878.200439,TS,200,12,CC,Eolian,Residuum,Sandstone,NA,Moderately Deep,0,1
IL1_10,5,74,B,7.5YR,6,4,7.5YR,4,4,SL,2,NA,NA,NA,NA,60,F,7,8.1,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL1_10,74,95,BC,7.5YR,6,4,7.5YR,5,4,SL,2,1,NA,NA,NA,70,F,7,8.1,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_1,0,9,A,7.5YR,6,4,7.5YR,4,4,SL,1,2,NA,NA,NA,70,F,5,7.8,ST,6109,1862.045842,BS,280,7,VL,Eolian,Residuum,Sandstone,NA,Very Shallow,0,5
IL2_1,9,9,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_2,0,5,A,7.5YR,6,4,7.5YR,3,4,SL,NA,NA,NA,NA,NA,60,VF,5,7.6,SL,6165,1879.11485,BS,260,3,LV,Eolian,Residuum,Sandstone,NA,Moderately Deep,1,1
IL2_2,5,45,B,7.5YR,6,6,7.5YR,4,6,SL,1,NA,NA,NA,NA,50,F,5,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_2,45,58,Cr,2.5YR,7,4,2.5YR,5,4,SL,5,NA,NA,NA,2,55,CO,10,8.4,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_3,0,4,A,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,55,F,7,6.4,NE,6193,1887.649354,SUMMIT,90,4,VL,Eolian,Residuum,Sandstone,NA,Very Deep,0,0
IL2_3,4,24,B,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,60,F,7,6.6,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_3,24,34,B2,7.5YR,6,6,7.5YR,4,6,SL,NA,NA,NA,NA,NA,50,F,5,7.6,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_3,34,158,B3,5YR,7,4,5YR,5,4,SL,NA,NA,NA,NA,NA,50,F,5,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_3,158,200,Cr,5YR,8,2,5YR,7,4,L,NA,NA,NA,NA,NA,50,MIX,10,8.6,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_4,0,8,A,7.5YR,5,4,7.5YR,3,3,SL,NA,1,NA,NA,NA,65,F,7,7.6,SL,6157,1876.67642,BS,290,3,LC,Eolian,NA,Sandstone,NA,Shallow,1,1
IL2_4,8,28,B,7.5YR,5,4,7.5YR,4,4,L,NA,NA,NA,NA,NA,45,F,7,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_4,28,43,B2,7.5YR,5,4,7.5YR,4,4,SL,NA,1,NA,NA,NA,60,F,7,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_4,43,43,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_5,0,6,A,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,70,F,5,7.6,NE,6135,1869.970739,TS,70,3,VV,Eolian,Bank Overflow,Sandstone,NA,Very Deep,0,0
IL2_5,6,20,B,5YR,5,6,5YR,4,6,SL,NA,NA,NA,NA,NA,70,F,5,7.8,VS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_5,20,38,B2,5YR,6,6,5YR,5,4,SL,NA,NA,NA,NA,NA,65,F,5,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_5,38,75,Ab1,5YR,6,4,5YR,5,4,SCL,NA,NA,NA,NA,NA,50,F,30,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_5,75,142,C,5YR,8,4,5YR,6,6,LS,NA,NA,NA,NA,NA,80,F,5,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_5,142,200,Ab2,5YR,6,4,5YR,4,4,CL,NA,NA,NA,NA,NA,40,F,38,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_7,0,7,A,7.5YR,5,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,70,F,7,7.6,VS,6153,1875.457206,BS,130,4,LL,Eolian,Residuum,Sandstone,NA,Moderately Deep,1,1
IL2_7,7,22,B,5YR,5,6,5YR,4,4,SL,NA,NA,NA,NA,NA,70,F,7,7.6,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_7,22,32,B2,7.5YR,6,6,5YR,4,4,SL,NA,1,NA,NA,NA,70,F,10,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_7,32,48,Bk,10YR,7,3,7.5YR,5,4,SL,NA,1,NA,NA,NA,70,F,7,8.6,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_7,48,59,C,7.5YR,6,4,7.5YR,5,4,SL,NA,1,NA,NA,NA,70,F,7,8,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_7,59,59,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_8,0,6,A,5YR,6,4,5YR,4,3,SL,NA,1,NA,NA,NA,60,F,5,7,NE,6205,1891.306998,BS,180,3,CC,Eolian,Residuum,Sandstone,NA,Shallow,1,1
IL2_8,6,18,B,5YR,5,6,5YR,4,4,SL,1,NA,NA,NA,NA,55,VF,5,7.6,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_8,18,40,B2,5YR,6,6,5YR,4,4,SL,1,NA,NA,NA,NA,55,VF,5,7.6,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_8,40,46,Cr,5YR,8,3,7.5YR,6,4,SL,NA,NA,NA,NA,7,55,VF,5,8.2,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_8,46,46,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_9,0,8,A,7.5YR,5,4,7.5YR,3,4,SL,NA,1,NA,NA,NA,75,F,5,7.8,SL,6131,1868.751524,BS,210,10,VV,Eolian,Residuum,Sandstone,NA,Moderately Deep,1,2
IL2_9,8,56,B,7.5YR,6,4,5YR,4,6,SL,NA,4,NA,NA,NA,60,F,5,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_9,56,56,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_10,0,5,A,7.5YR,6,4,7.5YR,4,4,SL,4,NA,NA,NA,NA,70,F,7,6.6,NE,6145,1873.018776,BS,10,5,LC,Eolian,Residuum,Sandstone,NA,Moderately Deep,0,1
IL2_10,5,10,B,7.5YR,5,4,7.5YR,4,4,SL,4,NA,NA,NA,NA,70,F,5,7.8,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_10,10,72,B2,7.5YR,6,4,7.5YR,5,4,SL,1,NA,NA,NA,NA,75,F,7,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_10,72,74,CB,7.5YR,8,3,7.5YR,6,4,SL,3,NA,NA,NA,NA,70,MIX,7,8.4,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL2_10,74,74,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL3_1,0,6,A,7.5YR,5,4,7.5YR,3,4,SiL,1,2,NA,NA,NA,40,F,5,7.6,SL,6193,1887.649354,BS,70,2,LL,Eolian,Residuum,Sandstone,NA,Shallow,1,1
IL3_1,6,16,B,5YR,5,4,5YR,4,4,SiL,1,2,NA,NA,NA,40,F,7,7.8,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL3_1,16,34,BC,5YR,6,4,5YR,4,4,SiL,3,2,NA,NA,NA,40,F,7,8.1,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL3_1,34,34,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL3_2,0,5,A,10YR,5,4,10YR,3,4,LS,NA,NA,NA,NA,NA,75,F,5,7.6,NE,6184,1884.90612,BS,200,6,LV,Eolian,NA,Sandstone,NA,Very Deep,0,2
IL3_2,5,130,B,7.5YR,5,6,7.5YR,4,4,LS,NA,2,NA,NA,NA,80,F,5,8.2,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL3_2,130,181,B2,7.5YR,6,4,7.5YR,5,4,LS,NA,NA,NA,NA,NA,80,F,5,8.4,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL3_3,0,6,A,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,65,VF,5,7.4,NE,6154,1875.762009,BS,300,5,LV,Eolian,NA,Sandstone,NA,Deep,1,3
IL3_3,6,30,B,7.5YR,7,4,7.5YR,5,4,SL,NA,NA,NA,NA,NA,75,VF,5,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL3_3,30,90,B2,7.5YR,7,4,7.5YR,5,4,SL,3,7,NA,NA,NA,75,VF,7,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL3_3,90,124,B3,7.5YR,7,6,7.5YR,5,6,SL,2,NA,NA,NA,NA,70,VF,7,8.4,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL3_3,124,200,B4,7.5YR,7,6,7.5YR,5,6,SL,2,NA,NA,NA,NA,60,VF,5,8.4,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL3_4,0,4,A,7.5YR,5,4,7.5YR,3,4,SL,NA,NA,NA,NA,NA,35,F,12,6.6,NE,6253,1905.937576,SH,14,3,VV,Eolian,NA,Sandstone,NA,Deep,1,3
IL3_4,4,14,A2,7.5YR,4,6,7.5YR,3,4,L,NA,NA,NA,NA,NA,50,F,12,6.6,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
